LINEITEMUNITPRICE,LINEITEMTOTALPRICE,ESTIMATETOTALPRICE,ESTIMATETOTALQUANTITY,QTYPERLINEITEM,MATERIALUNITWEIGHT,MATERIALCENTWEIGHTCOST
-0.055240791232335246,-0.015603157235138125,-0.012341776398612885,0.018413738252440488,-0.013504935527277964,0.06326326075368426,-0.04615602668805003
-0.23937696653116922,-0.018087063912652225,-0.012341776398612885,0.018413738252440488,-0.04460223531026735,-0.18960224889619395,-0.049552204677206155
-0.10860013522960556,-0.017095244560080748,-0.012341776398612885,0.018413738252440488,-0.03127482111755761,-0.022818614871806198,-0.042759848698893904
-0.19081127499856107,-0.014855422594047074,-0.012341776398612885,0.018413738252440488,0.01314989285814151,-0.11966072495048297,-0.049552204677206155
-0.08154595913216867,-0.01798101539635706,-0.012341776398612885,0.018413738252440488,-0.04460223531026735,0.014842205714345878,-0.042759848698893904
0.39395440503441026,-0.016383543868148456,-0.012341776398612885,0.018413738252440488,-0.03571729251512752,0.6765966245853038,-0.042759848698893904
0.10309954174103562,-0.017856949905482512,-0.021690684303774525,-0.08338386110705653,-0.04460223531026735,-0.6329669493052825,14.115804302753322
-0.062101706322382974,-0.017967950573449777,-0.0218016239425453,-0.08338386110705653,-0.04460223531026735,-0.11966072495048297,-0.04615602668805003
-0.4123079791938555,-0.018203258300665836,-0.022036802295391077,-0.08338386110705653,-0.04460223531026735,-0.4817426143002022,-0.04615602668805003
-0.2980093282395679,-0.018126459688352616,-0.021960045907667012,-0.08338386110705653,-0.04460223531026735,-0.28644435897487075,-0.042759848698893904
1.1568042741295792,-0.015997396821911956,-0.019001333626369365,-0.07659735448309007,-0.04015976391269744,1.5804563186529537,-0.02832609224498037
0.6801354571747392,-0.017469232664813397,-0.019001333626369365,-0.07659735448309007,-0.04460223531026735,0.9994036581808929,-0.03342035922871456
-0.17463269793032637,-0.018043561474589614,-0.021877193272110598,-0.08338386110705653,-0.04460223531026735,-0.6186499193535955,3.858803387023555
-0.0317219338275867,-0.017947538045825762,-0.02178122263791825,-0.08338386110705653,-0.04460223531026735,-0.6302941070671111,9.34451384578788
-0.415034369033132,-0.01734631462371653,-0.019726404845451923,-0.032485061427308025,-0.004619992732138138,-0.49325606516511156,0.009880910133026048
-0.19620413402130596,-0.016845784952273287,-0.019726404845451923,-0.032485061427308025,-0.02238987832241779,-0.05846189149798584,-0.08011780657961129
-0.5159407534142698,-0.018272890384543015,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.6038712753438668,-0.042759848698893904
-0.4938599917489199,-0.018258054060224575,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.5807367712695163,-0.042759848698893904
-0.5017395579877083,-0.018263348433760193,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.6011812167305702,0.01157899912760411
-0.5334975055660949,-0.01828468697348549,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.6266829723846217,0.001390465160135733
-0.5319395685150797,-0.018283640177197084,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.6240467149435911,-0.012194246796488771
-0.5193562307953415,-0.01827518528409838,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.6125870652509477,-0.012194246796488771
-0.4337895343011226,-0.018217692011027194,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.515637352827739,-0.04615602668805003
-0.5152217055445705,-0.01827240724779452,-0.021857979025642318,-0.0596310879231739,-0.04460223531026735,-0.6109730300829697,0.001390465160135733
