,Factor_1,Factor_2,Factor_3
LINEITEMUNITPRICE,0.10036027346286928,0.01793138559288296,0.9923551953113773
LINEITEMTOTALPRICE,0.9941742031609888,0.08591592445574993,0.0400715803480374
ESTIMATETOTALPRICE,0.9853534187634181,0.1103758260312522,0.04201688282672232
ESTIMATETOTALQUANTITY,0.4807922213121889,0.8964163532312092,0.007702849667027527
QTYPERLINEITEM,0.6861720027556113,0.5266512190766992,0.017070028375127562
MATERIALUNITWEIGHT,-0.02791213720068999,-0.010300544668528984,0.8963185524932632
MATERIALCENTWEIGHTCOST,-0.015403248075165415,0.867431736635712,-0.0002043870909477748
