,Factor_1,Factor_2,Factor_3
ESTIMATETOTALPRICE,0.25597390088919775,0.3991845832683301,0.5979445393717477
ESTIMATETOTALQUANTITY,0.003530473225850969,1.0007406550195066,0.13242183685576944
QTYPERLINEITEM,-0.07128052698214978,0.5446523762454406,0.3355960867703144
LINEITEMUNITPRICE,0.9648436405860544,-0.04415473976464715,0.14450017941529475
LINEITEMTOTALPRICE,0.26503233441959145,0.16952068967029302,0.9611903243248647
MATERIALUNITWEIGHT,0.9895262639097337,-0.035470154500314974,0.12593333770621878
MATERIALCENTWEIGHTCOST,-0.007938242705896154,0.037788210941311656,0.03875726626881744
