,Factor_1,Factor_2,Factor_3
0,0.14631470300118718,0.2502975093587549,0.36353134134353216
1,-0.08293833721857846,-0.24480566920646285,0.346017432091046
2,0.10950746963032953,-0.07602508335507013,0.3512857963771092
3,-0.13827054020760657,0.452167530469792,0.34418808865511963
4,0.20149975858588284,-0.29236995718270015,0.3479618524446764
5,1.0081514011605488,-0.11718661496534057,0.3743772426850307
7,-0.11317752467788704,-0.06658316511040042,-0.36532836934679025
8,-0.5567506250234108,-0.015796156305648144,-0.3648859672435495
9,-0.2806046085550038,-0.07114937413372856,-0.3651426502692944
10,2.1277674213112276,-0.19697018089600757,-0.3269331989771249
11,1.4284277656116784,-0.3806564641950587,-0.35647108972451397
14,-0.4075818976046652,0.018284280348762144,0.007451092643887651
15,-0.08793756083209249,0.12459153437127633,0.048718910924991
16,-0.6872311372188421,-0.00748806044863728,-0.1545511118524908
17,-0.6588256374235119,-0.010631422328819902,-0.1542474908504636
18,-0.529297240505204,-0.06230848709005503,-0.15616599582449422
19,-0.5876997070286839,-0.050386820931181873,-0.15626321904313717
20,-0.6238292336712612,-0.036478192389229884,-0.15578927943022167
21,-0.610356640003902,-0.037484136798207626,-0.1556162711513485
22,-0.5880725633438616,-0.016520904479141816,-0.15330834347239372
23,-0.569602870674478,-0.05142246383641429,-0.15601195519635983
24,0.03801857337202043,-0.1207294303410953,-0.3375258170184617
25,-0.39122730013680945,-0.05191564477568283,-0.34083927624530097
26,2.3336179912650734,-0.10182113955394285,-0.20564368977687988
27,0.22758105924437247,0.2491344680928337,-0.23782185991267576
28,1.7421901017707424,-0.4103184758946431,-0.2446906964102229
32,-0.5720236718848721,-0.02307893831674338,-0.3054257896835778
33,-0.6137313928218688,-0.017890536263879788,-0.31139070353176257
34,-0.42145472393337424,-0.03633419735966044,-0.15531373259549314
35,-0.5467316278072202,-0.021822172559767917,-0.15663070199773643
36,-0.6547203672839866,-0.010081648887487908,-0.1578309315376984
37,-0.6867304973184423,-0.00982524095606493,-0.15846987448809
38,-0.629781257275238,-0.04118632248648859,-0.1600283683637047
39,-0.6512762374039329,-0.011575510501942894,-0.15789409253273914
40,-0.6097301102671575,-0.03983019752842408,-0.15953338610564963
41,-0.6166366570599869,-0.04210427232091106,-0.15985577403816445
46,-0.5576283686108456,-0.01408425072604035,-0.36477670370398957
47,-0.49332124468331995,-0.03489747246531878,-0.19505399851646193
48,-0.5297717511224429,-0.029730178798442423,-0.33859169337474077
49,-0.18029740062319155,-0.08916457051301348,-0.33616474517680567
50,-0.7230058955085344,0.007501702523015601,-0.33418950271718556
51,-0.629590563650575,-0.030944191173648872,-0.33564087312903285
52,1.4707047264192865,-0.3611173739026165,-0.3650812514648204
53,-0.6023591380200464,-0.007358373808308315,-0.3648589565751346
55,-0.4770288347093954,-0.01937814524495144,-0.36429146190374934
56,-0.6620571025941322,-0.007173193033341588,-0.16970410828837032
57,-0.6231664346355568,-0.0533130635560663,-0.1732248234917947
58,-0.413057767827592,-0.04607462097806445,-0.3174884988336043
59,-0.4722190532879335,0.06610177905960424,0.09972357748143175
60,0.7169841838947612,-0.21930540211355368,-0.30408205897155327
61,0.2076570648184754,-0.16285471833219253,-0.30952087439770376
62,0.14947948062586325,-0.15640673815926534,-0.31014212372579997
63,0.319987502588026,-0.17530926328404528,-0.3083216323128913
