,Factor_1,Factor_2
LINEITEMUNITPRICE,0.02221374220140554,0.9974726968670019
LINEITEMTOTALPRICE,0.7464320356842679,0.18041309138118455
ESTIMATETOTALPRICE,0.8572037841614257,0.1332787875663351
ESTIMATETOTALQUANTITY,0.8410155405517423,0.005593134226820422
QTYPERLINEITEM,0.7616995455002811,-0.007204805998147295
MATERIALUNITWEIGHT,0.05861590965862502,0.9845720930207078
MATERIALCENTWEIGHTCOST,-0.12269723649134041,0.022858505660791086
