Factor_1,Factor_2
-0.020493867591479288,-0.4490753380849974
-0.010922059093426572,-0.28058825883901684
0.2479280075642843,-0.14865226358245753
-0.011085533336093453,-0.03390104278174352
-0.021628030653054707,-0.2742762340637246
0.001633016742415589,-0.3942499550430927
-0.16295360687238755,-0.1512225577544577
-0.14345729973394367,-0.40674299056588314
-0.09680324473957384,-0.31608388174639585
-0.14530325090282242,-0.14308074224763384
-0.1486901618536937,0.21060455916700122
-0.13876217520633577,0.40975812930126443
-0.1976917664495867,1.1171103566412295
-0.23921817006636306,0.28646801971691654
-0.26811368614418646,-0.027482634949089053
0.17834185181810447,-0.03188630407773685
0.19052703112018515,0.21651207869750566
0.20181759114056647,0.4464939730712687
-0.2677728437965368,0.2370225279176927
-0.39527202619106283,1.1083212468322852
-0.23446406651970464,-0.1330999892391454
-0.6664894211353574,3.029894920567821
-0.23921817006636306,0.28646801971691654
-0.07339098190903834,-0.022823227736907082
-0.023605226904957755,-0.016758096466028854
0.21276697145309634,-0.289522826005034
0.3159303068854758,-0.4838686590751151
0.2102551648074595,-0.45980655565700196
-0.0620558233130421,-0.4442080419218928
-0.12416627018448002,-0.3345007166228779
-0.20201226564989008,-0.41440075099844625
-0.2342925457794203,-0.3035397222849073
-0.22552064828848598,-0.060493440348423425
-0.22606871072513127,0.2858181620861519
-0.2282203019910554,0.5118583185807912
-0.223964933816305,-0.24249332383227398
-0.2340982145940013,0.2682040891698692
-0.1703555690340405,-0.33349159514403254
-0.18219644303462457,-0.42788145802687094
-0.5471114093850481,2.0541673334901267
-0.3919629155446874,1.0419868847456202
-0.19026657237614722,-0.13324548197540095
-0.18809582047881693,-0.37524311579361613
-0.19005582935479093,-0.3940331908047165
-0.18919540438323101,-0.3055942988984546
-0.19921408811977617,0.2649817237903705
-0.3693146234250926,0.8601435061358266
-0.2468976703937871,-0.060156476533262435
-0.22552064828848598,-0.060493440348423425
-0.22552064828848598,-0.060493440348423425
-0.22552064828848598,-0.060493440348423425
-0.09952188346332617,-0.36466008910267933
0.5790020013823942,-0.5262420500556617
-0.22199432881241243,-0.07624116038951138
-0.22188611208600953,0.3305449392373481
-0.0172276232800622,0.23251277065064033
0.5633647143901787,-0.5587029386671599
-0.20299098711293184,-0.15064723119268444
-0.11700742409380506,-0.2063370844726321
0.01201950976234859,-0.1445707491675349
-0.11569843534845374,-0.36845416496008354
-0.09360149203895403,-0.3456825871858409
-0.10543560283413525,-0.31572149648383246
-0.1702143239485647,-0.4269663630680347
-0.23506589134936615,-0.06562762706100701
-0.20299098711293184,-0.15064723119268444
-0.18297229699265968,-0.15093489447357106
0.057904058274328284,-0.3934095238796914
0.1910475534470963,-0.32547447719299727
-0.04441739310698499,-0.39322676065974815
-0.026438099471578404,-0.4908623239869185
-0.028813748259591345,-0.4546312051244578
-0.24523468242272858,-0.24013412428040878
-0.5351536764349272,1.6918809187364037
-0.255142150255583,0.012440021631860849
-0.18836686435783292,0.10012872505269418
-0.09057468502500524,-0.4239513657709904
0.26820550887255673,-0.4787750375350086
0.2695494920304893,-0.47159319238126857
-0.23345493589994543,-0.20558731286978366
-0.22012472310550768,-0.06614811170682611
-0.2231736129223294,-0.3633418770860824
-0.24681229781631164,0.47653201024292297
-0.22552064828848598,-0.060493440348423425
-0.13993681806860006,-0.195488810732699
-0.13807766721176915,-0.43077907016851
-0.13911928862077608,-0.37574533154783724
-0.13945308103470375,-0.3676495241394047
-0.13886882986706822,-0.30796994975224645
-0.3840439505310305,1.222715546740616
-0.30450863052111465,0.7563707359065722
-0.6712322227599332,3.0265242365717078
-0.03217340782784171,-0.0595723733397275
-0.1274936195181502,-0.3578344301444273
-0.12688562703624076,-0.3403473655891418
1.1568424342688248,2.41848194804853
0.5330714318000762,-0.05860330941862343
0.44887335431612,-0.35608201019269914
-0.16295360687238755,-0.1512225577544577
-0.16295360687238755,-0.1512225577544577
0.09924388678167011,-0.24943060871290085
-0.1362716477900388,-0.41997924470453873
-0.10182590165878329,0.38000849861656855
-0.20299098711293184,-0.15064723119268444
-0.20085788376654193,-0.3466748045820669
-0.24583286368297091,-0.14264552020328675
4.398337154936542,-0.22322000713492218
-0.1185911243513014,-0.3495206605393033
-0.3286688736980736,0.5465298245200657
-0.49963783967974545,1.6619221846081607
-0.1921498846945699,-0.3441127343042212
-0.1660332024916256,-0.405707267107526
-0.17522487715727758,-0.3464095272650236
-0.07088266690749054,-0.4066976248502395
-0.19272832324037828,0.7055579593337871
-0.14388723293225766,-0.32966357844471594
-0.18329666121461016,-0.020332988901095545
-0.1563797120637056,-0.4064800668426623
-0.1655713867293576,-0.3471823270001599
-0.2133158936561583,0.13470950430200296
-0.736750730247179,3.0320061350769256
-0.24583286368297091,-0.14264552020328675
-0.222594304836853,-0.4362019768492084
-0.2616955064894808,0.14585364413479915
-0.1696684801422013,0.25820988751389623
-0.22580335021107703,-0.37817539285973784
-0.42931947996345704,1.227797044100431
-0.71650775219236,3.0316057339315226
-0.22906552876574318,-0.3520600819366405
0.12166317690296057,-0.35645039657436745
0.0817652818244644,-0.324685640473348
0.12832245530194974,-0.025329676747346958
-0.19735758013531424,-0.31171583179865564
-0.1834734371361455,-0.45577325689438913
-0.1709857299607462,-0.4154063426334015
-0.17167938645258637,-0.47183825641849636
-0.23278606786192307,-0.41902392207370714
-0.23747934760854475,-0.3789358488716459
-0.23450259517608704,-0.3143991120764496
-0.23454995176761292,-0.3913054156429671
-0.16295360687238755,-0.1512225577544577
-0.2130201207326142,-0.4192439929562906
-0.20662279277892343,-0.45409929369578844
-0.21049190963100334,-0.3334144728402258
